openalex_topic_id,openalex_topic_name,for_field_code,for_field_label,is_primary,confidence,match_method,notes
10001,Geological and Geochemical Analysis,370608,Petrophysics and rock mechanics,True,0.333,constrained_lexical,
10001,Geological and Geochemical Analysis,370601,Applied geophysics,False,0.0,constrained_lexical,
10001,Geological and Geochemical Analysis,370602,Electrical and electromagnetic methods in geophysics,False,0.0,constrained_lexical,
10001,Geological and Geochemical Analysis,370603,Geodesy,False,0.0,constrained_lexical,
10001,Geological and Geochemical Analysis,370604,Geodynamics,False,0.0,constrained_lexical,
10001,Geological and Geochemical Analysis,370605,Geothermics and radiometrics,False,0.0,constrained_lexical,
10002,Advanced Chemical Physics Studies,510201,Atomic and molecular physics,True,0.667,constrained_lexical,
10002,Advanced Chemical Physics Studies,510299,"Atomic, molecular and optical physics not elsewhere classified",False,0.286,constrained_lexical,
10002,Advanced Chemical Physics Studies,510202,Lasers and quantum electronics,False,0.333,constrained_lexical,
10002,Advanced Chemical Physics Studies,510205,Terahertz physics,False,0.5,constrained_lexical,
10002,Advanced Chemical Physics Studies,510203,Nonlinear optics and spectroscopy,False,0.0,constrained_lexical,
10002,Advanced Chemical Physics Studies,510204,"Photonics, optoelectronics and optical communications",False,0.0,constrained_lexical,
10003,Innovation and Knowledge Management,350705,Innovation management,True,0.9,contains_match,
10003,Innovation and Knowledge Management,350708,Not-for-profit business and management,False,0.5,constrained_lexical,
10003,Innovation and Knowledge Management,350711,Organisational planning and management,False,0.667,constrained_lexical,
10003,Innovation and Knowledge Management,350716,Small business organisation and management,False,0.5,constrained_lexical,
10003,Innovation and Knowledge Management,350799,"Strategy, management and organisational behaviour not elsewhere classified",False,0.286,constrained_lexical,
10003,Innovation and Knowledge Management,350702,Corporate social responsibility,False,0.333,constrained_lexical,
10004,Soil Carbon and Nitrogen Dynamics,410604,Soil chemistry and soil carbon sequestration (excl. carbon sequestration science),True,0.5,constrained_lexical,
10004,Soil Carbon and Nitrogen Dynamics,410601,Land capability and soil productivity,False,0.25,constrained_lexical,
10004,Soil Carbon and Nitrogen Dynamics,410603,Soil biology,False,0.5,constrained_lexical,
10004,Soil Carbon and Nitrogen Dynamics,410605,Soil physics,False,0.5,constrained_lexical,
10004,Soil Carbon and Nitrogen Dynamics,410699,Soil sciences not elsewhere classified,False,0.2,constrained_lexical,
10004,Soil Carbon and Nitrogen Dynamics,410602,Pedology and pedometrics,False,0.0,constrained_lexical,
10005,Ecology and Vegetation Dynamics Studies,410401,Conservation and biodiversity,True,1.0,constrained_lexical,
10005,Ecology and Vegetation Dynamics Studies,410407,Wildlife and habitat management,False,0.667,constrained_lexical,
10005,Ecology and Vegetation Dynamics Studies,410404,Environmental management,False,0.5,constrained_lexical,
10005,Ecology and Vegetation Dynamics Studies,410406,Natural resource management,False,0.333,constrained_lexical,
10005,Ecology and Vegetation Dynamics Studies,410499,Environmental management not elsewhere classified,False,0.2,constrained_lexical,
10005,Ecology and Vegetation Dynamics Studies,410402,Environmental assessment and monitoring,False,0.0,constrained_lexical,
10006,Job Satisfaction and Organizational Behavior,350710,Organisational behaviour,True,0.9,contains_match,
10006,Job Satisfaction and Organizational Behavior,350799,"Strategy, management and organisational behaviour not elsewhere classified",False,0.429,constrained_lexical,
10006,Job Satisfaction and Organizational Behavior,350711,Organisational planning and management,False,0.667,constrained_lexical,
10006,Job Satisfaction and Organizational Behavior,350703,Disaster and emergency management,False,0.333,constrained_lexical,
10006,Job Satisfaction and Organizational Behavior,350705,Innovation management,False,0.5,constrained_lexical,
10006,Job Satisfaction and Organizational Behavior,350707,Leadership,False,1.0,constrained_lexical,
10007,Monetary Policy and Economic Impact,380204,Panel data analysis,True,1.0,constrained_lexical,
10007,Monetary Policy and Economic Impact,380201,Cross-sectional analysis,False,0.333,constrained_lexical,
10007,Monetary Policy and Economic Impact,380203,Economic models and forecasting,False,0.333,constrained_lexical,
10007,Monetary Policy and Economic Impact,380205,Time-series analysis,False,0.333,constrained_lexical,
10007,Monetary Policy and Economic Impact,380202,Econometric and statistical methods,False,0.0,constrained_lexical,
10007,Monetary Policy and Economic Impact,380299,Econometrics not elsewhere classified,False,0.0,constrained_lexical,
10008,Teacher Education and Leadership Studies,390111,Physical education and development curriculum and pedagogy,True,0.4,constrained_lexical,
10008,Teacher Education and Leadership Studies,390102,Curriculum and pedagogy theory and development,False,0.25,constrained_lexical,
10008,Teacher Education and Leadership Studies,390105,Environmental education curriculum and pedagogy,False,0.25,constrained_lexical,
10008,Teacher Education and Leadership Studies,390106,Geography education curriculum and pedagogy,False,0.25,constrained_lexical,
10008,Teacher Education and Leadership Studies,390113,"Science, technology and engineering curriculum and pedagogy",False,0.2,constrained_lexical,
10008,Teacher Education and Leadership Studies,390114,Vocational education and training curriculum and pedagogy,False,0.2,constrained_lexical,
10009,Dementia and Cognitive Impairment Research,320201,Anaesthesiology,True,0.0,below_floor,
10009,Dementia and Cognitive Impairment Research,320202,Clinical chemistry (incl. diagnostics),False,0.0,constrained_lexical,
10009,Dementia and Cognitive Impairment Research,320203,Clinical microbiology,False,0.0,constrained_lexical,
10009,Dementia and Cognitive Impairment Research,320204,Clinimetrics,False,0.0,constrained_lexical,
10009,Dementia and Cognitive Impairment Research,320205,Dermatology,False,0.0,constrained_lexical,
10009,Dementia and Cognitive Impairment Research,320206,Diagnostic radiography,False,0.0,constrained_lexical,
10010,"Obesity, Physical Activity, Diet",420699,Public health not elsewhere classified,True,0.4,constrained_lexical,
10010,"Obesity, Physical Activity, Diet",420601,Community child health,False,0.333,constrained_lexical,
